,,, ,Area,Mean,Min,Max,X,Y,,,
y-axis,1,FL/s,1,0,38,38,38,233,551.5,24,4,Clark et al 2011
y-axis,2,FL/s,2,0,93,93,93,233.5,368.5,24,4,Clark et al 2011
y-axis,3,FL/s,3,0,91,91,91,233.5,185.5,24,4,Clark et al 2011
Umax,F,FL/s,4,0,255,255,255,360.5,416,24,4,Clark et al 2011
Umax,F,FL/s,5,0,255,255,255,360.5,333.5,24,4,Clark et al 2011
Umax,F,FL/s,6,0,255,255,255,382,349,24,4,Clark et al 2011
Umax,F,FL/s,7,0,223,223,223,388,360.5,24,4,Clark et al 2011
Umax,F,FL/s,8,0,255,255,255,468.5,326.5,24,4,Clark et al 2011
Umax,F,FL/s,9,0,255,255,255,591.5,313,24,4,Clark et al 2011
Umax,F,FL/s,10,0,255,255,255,602.5,266,24,4,Clark et al 2011
Umax,F,FL/s,11,0,255,255,255,618.5,316,24,4,Clark et al 2011
Umax,F,FL/s,12,0,255,255,255,629,329,24,4,Clark et al 2011
Umax,F,FL/s,13,0,255,255,255,653.5,323.5,24,4,Clark et al 2011
Umax,F,FL/s,14,0,255,255,255,669,332,24,4,Clark et al 2011
Umax,F,FL/s,15,0,255,255,255,701,326.5,24,4,Clark et al 2011
Umax,F,FL/s,16,0,255,255,255,813.5,348,24,4,Clark et al 2011
Umax,F,FL/s,17,0,255,255,255,825,299.5,24,4,Clark et al 2011
Umax,F,FL/s,18,0,255,255,255,824.5,263,24,4,Clark et al 2011
Umax,F,FL/s,19,0,255,255,255,855.5,345.5,24,4,Clark et al 2011
Umax,F,FL/s,20,0,255,255,255,906.5,287.5,24,4,Clark et al 2011
Umax,F,FL/s,21,0,255,255,255,927.5,333.5,24,4,Clark et al 2011
Umax,F,FL/s,22,0,255,255,255,953,385.5,24,4,Clark et al 2011
Umax,F,FL/s,23,0,255,255,255,1010,311,24,4,Clark et al 2011
Umax,F,FL/s,24,0,255,255,255,1030.5,283,24,4,Clark et al 2011
Umax,F,FL/s,25,0,255,255,255,1071,313,24,4,Clark et al 2011
Umax,F,FL/s,26,0,255,255,255,1071,354,24,4,Clark et al 2011
Umax,F,FL/s,27,0,255,255,255,1210,427,24,4,Clark et al 2011
Umax,F,FL/s,28,0,255,255,255,1230.5,300,24,4,Clark et al 2011
Umax,F,FL/s,29,0,255,255,255,1257,282.5,24,4,Clark et al 2011
Umax,F,FL/s,30,0,255,255,255,1292,359.5,24,4,Clark et al 2011
Umax,F,FL/s,31,0,255,255,255,1256,431,24,4,Clark et al 2011
x-axis,10,degC,32,0,72,72,72,490,553.5,24,4,Clark et al 2011
x-axis,15,degC,33,0,38,38,38,747.5,552,24,4,Clark et al 2011
x-axis,20,degC,34,0,34,34,34,1004.5,552,24,4,Clark et al 2011
x-axis,25,degC,35,0,55,55,55,1261.5,553,24,4,Clark et al 2011