 ,Area,Mean,Min,Max,X,Y
1,0,33,33,33,261,687.5
2,0,33,33,33,261,618
3,0,33,33,33,261.5,549
4,0,33,33,33,261,479.5
5,0,33,33,33,261,410.5
6,0,255,255,255,404.5,160.5
7,0,255,255,255,405,134.5
8,0,255,255,255,575.5,332
9,0,255,255,255,576,137
10,0,255,255,255,747.333,502.333
11,0,255,255,255,747.333,425
12,0,255,255,255,918,590.333
13,0,255,255,255,918,525.667
14,0,255,255,255,1089,650
15,0,255,255,255,1089,621.333
16,0,255,255,255,1259.667,682.667
17,0,33,33,33,1259.667,680
18,0,255,255,255,426.5,190.5
19,0,33,33,33,426.5,134.5
20,0,130,130,130,598,280
21,0,33,33,33,597,133.5
22,0,219,219,219,768.5,491.5
23,0,33,33,33,768.5,404.5
24,0,255,255,255,939.5,610.5
25,0,33,33,33,939.5,541.5
26,0,255,255,255,1110.5,683
27,0,33,33,33,1110.5,681.25
28,0,33,33,33,1280.25,684.25
29,0,33,33,33,1280.5,682.75
30,0,181,181,181,449,176.5
31,0,33,33,33,448,133.5
32,0,33,33,33,618,133.5
33,0,255,255,255,790,492
34,0,33,33,33,789.5,407.5
35,0,50,50,50,960.5,649.5
36,0,33,33,33,960,626.5
37,0,33,33,33,1302.667,682
38,0,32,32,32,1302.5,680
39,0,255,255,255,1131.5,682.25
40,0,33,33,33,1131.75,680
41,0,255,255,255,469.5,144
42,0,33,33,33,469.5,134.5
43,0,255,255,255,640,475
44,0,33,33,33,640,431
45,0,219,219,219,811.5,654
46,0,33,33,33,811,637.5
47,0,33,33,33,982.5,646
48,0,33,33,33,982.5,615.5
49,0,181,181,181,1153.833,683.333
50,0,33,33,33,1154,681.833
51,0,33,33,33,1323.833,683.167
52,0,255,255,255,1324.167,681